Time,Condition,Response,Clicktime
387,arrayAverageTD_B.png,,
388,arrayAverageTD_B.png,,
389,arrayAverageTD_B.png,,
390,arrayAverageTD_B.png,,
391,arrayAverageTD_B.png,,
392,arrayAverageTD_B.png,,
393,arrayAverageTD_B.png,,
394,arrayAverageTD_B.png,,
395,arrayAverageTD_B.png,,
396,arrayAverageTD_B.png,,
397,arrayAverageTD_B.png,,
398,arrayAverageTD_B.png,,
399,arrayAverageTD_B.png,,
400,arrayAverageTD_B.png,,
401,arrayAverageTD_B.png,,
402,arrayAverageTD_B.png,,
403,arrayAverageTD_B.png,,
404,arrayAverageTD_B.png,,
405,arrayAverageTD_B.png,,
406,arrayAverageTD_B.png,,
407,arrayAverageTD_B.png,,
408,arrayAverageTD_B.png,,
409,arrayAverageTD_B.png,,
410,arrayAverageTD_B.png,,
411,arrayAverageTD_B.png,,
412,arrayAverageTD_B.png,,
413,arrayAverageTD_B.png,,
414,arrayAverageTD_B.png,,
415,arrayAverageTD_B.png,,
416,arrayAverageTD_B.png,,
417,arrayAverageTD_B.png,,
418,arrayAverageTD_B.png,,
419,arrayAverageTD_B.png,,
420,arrayAverageTD_B.png,,
421,arrayAverageTD_B.png,,
422,arrayAverageTD_B.png,,
423,arrayAverageTD_B.png,,
424,arrayAverageTD_B.png,,
425,arrayAverageTD_B.png,,
426,arrayAverageTD_B.png,,
427,arrayAverageTD_B.png,,
428,arrayAverageTD_B.png,,
429,arrayAverageTD_B.png,,
430,arrayAverageTD_B.png,,
431,arrayAverageTD_B.png,,
432,arrayAverageTD_B.png,,
433,arrayAverageTD_B.png,,
434,arrayAverageTD_B.png,,
435,arrayAverageTD_B.png,,
436,arrayAverageTD_B.png,,
437,arrayAverageTD_B.png,,
438,arrayAverageTD_B.png,,
439,arrayAverageTD_B.png,,
440,arrayAverageTD_B.png,,
441,arrayAverageTD_B.png,,
442,arrayAverageTD_B.png,,
443,arrayAverageTD_B.png,,
444,arrayAverageTD_B.png,,
445,arrayAverageTD_B.png,,
446,arrayAverageTD_B.png,,
447,arrayAverageTD_B.png,,
448,arrayAverageTD_B.png,,
449,arrayAverageTD_B.png,,
450,arrayAverageTD_B.png,,
451,arrayAverageTD_B.png,,
452,arrayAverageTD_B.png,,
453,arrayAverageTD_B.png,,
454,arrayAverageTD_B.png,,
455,arrayAverageTD_B.png,,
456,arrayAverageTD_B.png,,
457,arrayAverageTD_B.png,,
458,arrayAverageTD_B.png,,
459,arrayAverageTD_B.png,,
460,arrayAverageTD_B.png,,
461,arrayAverageTD_B.png,,
462,arrayAverageTD_B.png,,
463,arrayAverageTD_B.png,,
464,arrayAverageTD_B.png,,
465,arrayAverageTD_B.png,,
466,arrayAverageTD_B.png,,
467,arrayAverageTD_B.png,,
468,arrayAverageTD_B.png,,
469,arrayAverageTD_B.png,,
470,arrayAverageTD_B.png,,
471,arrayAverageTD_B.png,,
472,arrayAverageTD_B.png,,
473,arrayAverageTD_B.png,,
474,arrayAverageTD_B.png,,
475,arrayAverageTD_B.png,,
476,arrayAverageTD_B.png,,
477,arrayAverageTD_B.png,,
478,arrayAverageTD_B.png,,
479,arrayAverageTD_B.png,,
480,arrayAverageTD_B.png,,
481,arrayAverageTD_B.png,,
482,arrayAverageTD_B.png,,
483,arrayAverageTD_B.png,,
484,arrayAverageTD_B.png,,
485,arrayAverageTD_B.png,,
486,arrayAverageTD_B.png,,
487,arrayAverageTD_B.png,,
488,arrayAverageTD_B.png,,
489,arrayAverageTD_B.png,,
490,arrayAverageTD_B.png,,
491,arrayAverageTD_B.png,,
492,arrayAverageTD_B.png,,
493,arrayAverageTD_B.png,,
494,arrayAverageTD_B.png,,
495,arrayAverageTD_B.png,,
496,arrayAverageTD_B.png,,
497,arrayAverageTD_B.png,,
498,arrayAverageTD_B.png,,
499,arrayAverageTD_B.png,,
500,arrayAverageTD_B.png,,
501,arrayAverageTD_B.png,,
502,arrayAverageTD_B.png,,
503,arrayAverageTD_B.png,,
504,arrayAverageTD_B.png,,
505,arrayAverageTD_B.png,,
506,arrayAverageTD_B.png,,
507,arrayAverageTD_B.png,,
508,arrayAverageTD_B.png,,
509,arrayAverageTD_B.png,,
510,arrayAverageTD_B.png,,
511,arrayAverageTD_B.png,,
512,arrayAverageTD_B.png,,
513,arrayAverageTD_B.png,,
514,arrayAverageTD_B.png,,
515,arrayAverageTD_B.png,,
516,arrayAverageTD_B.png,,
517,arrayAverageTD_B.png,,
518,arrayAverageTD_B.png,,
